n,Robustness score
10,0.24761148897708496
20,0.11722973602966441
30,0.0837506460242157
40,0.07812277998127337
50,0.07090794720218024
60,0.06864197934097224
70,0.06334499263987133
80,0.0619049232815633
90,0.05502329013127213
100,0.04941065201899414
110,0.04688697415015661
120,0.04834108592742997
130,0.04693331552142217
140,0.048844877470860915
150,0.049564503704751746
160,0.051066916467904296
170,0.049043027053619924
180,0.049254546569771684
190,0.04541996534462977
200,0.04652146609437762
210,0.043785707687855224
220,0.04390638633189425
230,0.044509593653156314
240,0.0437639304859409
250,0.043445049937034075
260,0.042758904976785306
270,0.042321405452413766
280,0.04158586448156148
290,0.04115083554061045
300,0.04121302324528501
310,0.039210159298842424
320,0.03859375758879048
330,0.03841098065063123
340,0.03786915509144749
350,0.0379037480615666
360,0.0373866473004863
370,0.037260472042384654
380,0.03670721346665331
390,0.03678254538104711
400,0.036083228554069924
410,0.03652616899390118
420,0.03567191843766793
430,0.036749877482300006
440,0.03772748733325188
450,0.03745982893599506
460,0.03726823526319073
470,0.0372017459714392
480,0.0362361701145271
490,0.035973211084354806
500,0.035594636929315575
510,0.03607407988616113
520,0.03538434638747926
530,0.03554895454441212
540,0.035220705871062845
550,0.03422546652776842
560,0.03422300552839375
570,0.03501945079823083
580,0.034938885329620556
590,0.03563331439589799
600,0.0354615587490313
610,0.0354615587490313
620,0.0354615587490313
630,0.0354615587490313
640,0.0354615587490313
650,0.0354615587490313
660,0.0354615587490313
670,0.0354615587490313
680,0.0354615587490313
690,0.0354615587490313
700,0.0354615587490313
710,0.0354615587490313
720,0.0354615587490313
730,0.0354615587490313
740,0.0354615587490313
750,0.0354615587490313
760,0.0354615587490313
770,0.0354615587490313
780,0.0354615587490313
790,0.0354615587490313
800,0.0354615587490313
810,0.0354615587490313
820,0.0354615587490313
830,0.0354615587490313
840,0.0354615587490313
850,0.0354615587490313
860,0.0354615587490313
870,0.0354615587490313
880,0.0354615587490313
890,0.0354615587490313
900,0.0354615587490313
910,0.0354615587490313
920,0.0354615587490313
930,0.0354615587490313
940,0.0354615587490313
950,0.0354615587490313
960,0.0354615587490313
970,0.0354615587490313
980,0.0354615587490313
990,0.0354615587490313
1000,0.0354615587490313
