n,Robustness score
10,0.2
20,0.10831757544462396
30,0.0796217997726707
40,0.08078671715216143
50,0.07257545317004449
60,0.06987136531363006
70,0.059131573054903096
80,0.0617934276797206
90,0.06499318113718544
100,0.058082463293140665
110,0.05719191283174314
120,0.05981927875430214
130,0.05538243844870698
140,0.05921656237536668
150,0.05710198616980379
160,0.05921971734474144
170,0.05590129448034285
180,0.0561143225524556
190,0.06325351889628411
200,0.0610647776699743
210,0.05951249478128026
220,0.059965392627824285
230,0.06305150030182624
240,0.06667057844414123
250,0.06950602008883434
260,0.07082046086697226
270,0.07266749462530527
280,0.07175424641386671
290,0.06922163911215778
300,0.06830410271835156
310,0.07162811154247464
320,0.07333782684755202
330,0.07331539053036298
340,0.07210632679456833
350,0.06983663680331735
360,0.06670022103234748
370,0.06504395043567268
380,0.06733121206487971
390,0.06623081880816709
400,0.06549400565260738
410,0.0655144092225189
420,0.0650562866397722
430,0.0650813252028017
440,0.0632778909112032
450,0.06163256694865843
460,0.06170179907802581
470,0.06267677968939256
480,0.06264937451558378
490,0.06181108813519222
500,0.062413811925827144
510,0.06323966481622281
520,0.062404337720858946
530,0.06188547278432805
540,0.06200238537833455
550,0.06164037357897865
560,0.06148220445413625
570,0.0629116131518403
580,0.062275289609616744
590,0.061624039818305706
600,0.06285662040545846
610,0.062266919403443324
620,0.061482672786472604
630,0.06149391788399387
640,0.06105652641477535
650,0.060784963026177134
660,0.06071214775195326
670,0.06019699116529307
680,0.06039928393073657
690,0.060500393569211594
700,0.060589292380184054
710,0.06048601238441945
720,0.060093415343073914
730,0.060109793659032976
740,0.06101702610734273
750,0.061016235756311654
760,0.06116005777265633
770,0.06066903746567337
780,0.060916734711700254
790,0.06201200335019279
800,0.061248165621656775
810,0.061392457487330715
820,0.06057956154623074
830,0.06044999446241176
840,0.06044999446241176
850,0.06044999446241176
860,0.06044999446241176
870,0.06044999446241176
880,0.06044999446241176
890,0.06044999446241176
900,0.06044999446241176
910,0.06044999446241176
920,0.06044999446241176
930,0.06044999446241176
940,0.06044999446241176
950,0.06044999446241176
960,0.06044999446241176
970,0.06044999446241176
980,0.06044999446241176
990,0.06044999446241176
1000,0.06044999446241176
