n,Robustness score
10,0.8
20,0.891682424555376
30,0.9203782002273293
40,0.9192132828478385
50,0.9274245468299556
60,0.93012863468637
70,0.9408684269450969
80,0.9382065723202794
90,0.9350068188628146
100,0.9419175367068593
110,0.9428080871682568
120,0.9401807212456978
130,0.9446175615512931
140,0.9407834376246333
150,0.9428980138301962
160,0.9407802826552586
170,0.9440987055196571
180,0.9438856774475444
190,0.9367464811037158
200,0.9389352223300257
210,0.9404875052187197
220,0.9400346073721757
230,0.9369484996981737
240,0.9333294215558587
250,0.9304939799111657
260,0.9291795391330278
270,0.9273325053746947
280,0.9282457535861333
290,0.9307783608878422
300,0.9316958972816485
310,0.9283718884575254
320,0.926662173152448
330,0.926684609469637
340,0.9278936732054317
350,0.9301633631966827
360,0.9332997789676525
370,0.9349560495643273
380,0.9326687879351203
390,0.9337691811918329
400,0.9345059943473926
410,0.9344855907774811
420,0.9349437133602279
430,0.9349186747971983
440,0.9367221090887968
450,0.9383674330513416
460,0.9382982009219742
470,0.9373232203106074
480,0.9373506254844162
490,0.9381889118648078
500,0.9375861880741728
510,0.9367603351837772
520,0.937595662279141
530,0.9381145272156719
540,0.9379976146216654
550,0.9383596264210213
560,0.9385177955458638
570,0.9370883868481596
580,0.9377247103903833
590,0.9383759601816943
600,0.9371433795945415
610,0.9377330805965567
620,0.9385173272135274
630,0.9385060821160062
640,0.9389434735852247
650,0.9392150369738229
660,0.9392878522480468
670,0.9398030088347069
680,0.9396007160692634
690,0.9394996064307884
700,0.9394107076198159
710,0.9395139876155806
720,0.9399065846569261
730,0.939890206340967
740,0.9389829738926573
750,0.9389837642436883
760,0.9388399422273437
770,0.9393309625343267
780,0.9390832652882998
790,0.9379879966498073
800,0.9387518343783432
810,0.9386075425126693
820,0.9394204384537692
830,0.9395500055375883
840,0.9395500055375883
850,0.9395500055375883
860,0.9395500055375883
870,0.9395500055375883
880,0.9395500055375883
890,0.9395500055375883
900,0.9395500055375883
910,0.9395500055375883
920,0.9395500055375883
930,0.9395500055375883
940,0.9395500055375883
950,0.9395500055375883
960,0.9395500055375883
970,0.9395500055375883
980,0.9395500055375883
990,0.9395500055375883
1000,0.9395500055375883
