Key,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD
0,0.5375,0.3375,0.45,0.025,0.457446809,0.5375,0.3375,0.45,0.025,0.457446809,0.5375,0.3375,0.45,0.025,0.457446809
1,0.525,0.30625,0.433860759,0.025,0.461702128,1.0625,0.64375,0.883860759,0.05,0.919148937,0.53125,0.321875,0.44193038,0.025,0.459574469
2,0.541666667,0.3,0.41007384,0.025,0.467375887,1.604166667,0.94375,1.293934599,0.075,1.386524824,0.534722222,0.314583333,0.431311533,0.025,0.462174941
3,0.559375,0.30625,0.403709226,0.025,0.465425532,2.163541667,1.25,1.697643825,0.1,1.851950356,0.540885417,0.3125,0.424410956,0.025,0.462987589
4,0.56,0.31,0.400467381,0.025,0.464255319,2.723541667,1.56,2.098111206,0.125,2.316205675,0.544708333,0.312,0.419622241,0.025,0.463241135
5,0.55625,0.30625,0.392794547,0.025,0.467375887,3.279791667,1.86625,2.490905753,0.15,2.783581562,0.546631945,0.311041667,0.415150959,0.025,0.46393026
6,0.55,0.298214286,0.381888997,0.025,0.463829787,3.829791667,2.164464286,2.87279475,0.175,3.247411349,0.547113095,0.309209184,0.41039925,0.025,0.463915907
7,0.5515625,0.3,0.380038948,0.025,0.46462766,4.381354167,2.464464286,3.252833698,0.2,3.712039009,0.547669271,0.308058036,0.406604212,0.025,0.464004876
8,0.55,0.298611111,0.372534621,0.025,0.46501182,4.931354167,2.763075397,3.625368319,0.225,4.177050829,0.547928241,0.307008377,0.402818702,0.025,0.464116759
9,0.55,0.30375,0.371531159,0.025,0.465319149,5.481354167,3.066825397,3.996899478,0.25,4.642369978,0.548135417,0.30668254,0.399689948,0.025,0.464236998
10,0.548863636,0.305681818,0.376217137,0.025,0.466344294,6.030217803,3.372507215,4.373116615,0.275,5.108714272,0.548201618,0.306591565,0.397556056,0.025,0.46442857
11,0.54375,0.309375,0.377566131,0.025,0.466134752,6.573967803,3.681882215,4.750682746,0.3,5.574849024,0.54783065,0.306823518,0.395890229,0.025,0.464570752
12,0.545192308,0.3125,0.379681297,0.025,0.465957447,7.119160111,3.994382215,5.130364044,0.325,6.040806471,0.547627701,0.30726017,0.394643388,0.025,0.464677421
13,0.542857143,0.313392857,0.381494297,0.025,0.465957447,7.662017254,4.307775072,5.511858341,0.35,6.506763918,0.547286947,0.307698219,0.393704167,0.025,0.464768851
14,0.539166667,0.313333333,0.381894677,0.025,0.464964539,8.201183921,4.621108405,5.893753018,0.375,6.971728457,0.546745595,0.308073894,0.392916868,0.025,0.464781897
15,0.5375,0.31484375,0.384924994,0.025,0.46462766,8.738683921,4.935952155,6.278678011,0.4,7.436356117,0.546167745,0.30849701,0.392417376,0.025,0.464772257
16,0.536029412,0.311764706,0.38164199,0.025,0.464705882,9.274713333,5.247716861,6.660320001,0.425,7.901061999,0.545571373,0.308689227,0.391783529,0.025,0.464768353
17,0.535416667,0.313888889,0.381967435,0.025,0.464184397,9.81013,5.56160575,7.042287436,0.45,8.365246396,0.545007222,0.308978097,0.391238191,0.025,0.464735911
18,0.534868421,0.310526316,0.379185671,0.025,0.464837626,10.34499842,5.872132066,7.421473107,0.475,8.830084022,0.544473601,0.309059582,0.390603848,0.025,0.464741264
19,0.53625,0.311875,0.379601388,0.025,0.464893617,10.88124842,6.184007066,7.801074495,0.5,9.294977639,0.544062421,0.309200353,0.390053725,0.025,0.464748882
20,0.53452381,0.311309524,0.379977512,0.025,0.465045593,11.41577223,6.49531659,8.181052007,0.525,9.760023232,0.543608201,0.30930079,0.389573905,0.025,0.464763011
21,0.533522727,0.311363636,0.378240905,0.025,0.465087041,11.94929496,6.806680226,8.559292911,0.55,10.22511027,0.543149771,0.309394556,0.389058769,0.025,0.46477774
22,0.533695652,0.310326087,0.382709242,0.025,0.46586494,12.48299061,7.117006313,8.942002153,0.575,10.69097521,0.542738722,0.309435057,0.388782702,0.025,0.464825009
23,0.5328125,0.3109375,0.382908857,0.025,0.465602837,13.01580311,7.427943813,9.32491101,0.6,11.15657805,0.54232513,0.309497659,0.388537959,0.025,0.464857419
24,0.5345,0.312,0.385314021,0.025,0.465446809,13.55030311,7.739943813,9.710225031,0.625,11.62202486,0.542012124,0.309597753,0.388409001,0.025,0.464880994
25,0.534615385,0.315865385,0.385398098,0.025,0.465630115,14.0849185,8.055809198,10.09562313,0.65,12.08765497,0.541727634,0.309838815,0.388293197,0.025,0.464909807
26,0.535185185,0.317592593,0.385188792,0.025,0.465484634,14.62010368,8.373401791,10.48081192,0.675,12.55313961,0.541485321,0.310125992,0.388178219,0.025,0.464931097
27,0.536160714,0.316964286,0.386999815,0.025,0.465729483,15.15626439,8.690366077,10.86781173,0.7,13.01886909,0.541295157,0.310370217,0.388136133,0.025,0.46495961
28,0.535775862,0.318534483,0.388310166,0.025,0.465003668,15.69204026,9.00890056,11.2561219,0.725,13.48387276,0.541104836,0.310651743,0.388142135,0.025,0.46496113
29,0.535,0.32,0.387866494,0.025,0.464893617,16.22704026,9.32890056,11.64398839,0.75,13.94876638,0.540901342,0.310963352,0.388132946,0.025,0.464958879
30,0.53266129,0.321774194,0.385032091,0.025,0.465820178,16.75970155,9.650674754,12.02902048,0.775,14.41458655,0.540635534,0.311312089,0.388032919,0.025,0.464986663
31,0.53359375,0.323046875,0.384718588,0.025,0.465625,17.2932953,9.973721629,12.41373907,0.8,14.88021155,0.540415478,0.311678801,0.387929346,0.025,0.465006611
32,0.533333333,0.323863636,0.384567929,0.025,0.4655706,17.82662863,10.29758527,12.798307,0.825,15.34578215,0.540200868,0.312048038,0.387827485,0.025,0.465023702
33,0.535294118,0.323161765,0.384286519,0.025,0.465394243,18.36192275,10.62074703,13.18259352,0.85,15.8111764,0.540056551,0.312374913,0.387723339,0.025,0.4650346
34,0.537142857,0.321785714,0.382348495,0.025,0.465288754,18.8990656,10.94253274,13.56494202,0.875,16.27646515,0.539973303,0.312643793,0.387569772,0.025,0.465041861
35,0.538194444,0.323611111,0.383331079,0.025,0.465425532,19.43726005,11.26614386,13.94827309,0.9,16.74189068,0.53992389,0.31294844,0.38745203,0.025,0.465052519
36,0.538851351,0.321283784,0.382549979,0.025,0.465324899,19.9761114,11.58742764,14.33082307,0.925,17.20721558,0.539894903,0.31317372,0.387319543,0.025,0.465059881
37,0.538486842,0.319736842,0.382680243,0.025,0.465341545,20.51459824,11.90716448,14.71350332,0.95,17.67255713,0.539857848,0.313346434,0.387197456,0.025,0.465067293
38,0.540384615,0.320192308,0.384877017,0.025,0.465575559,21.05498286,12.22735679,15.09838033,0.975,18.13813269,0.539871355,0.313521969,0.387137957,0.025,0.465080325
39,0.5403125,0.3209375,0.385880092,0.025,0.465425532,21.59529536,12.54829429,15.48426043,1,18.60355822,0.539882384,0.313707357,0.387106511,0.025,0.465088955
40,0.540243902,0.320731707,0.384495551,0.025,0.465179035,22.13553926,12.869026,15.86875598,1.025,19.06873725,0.539891201,0.313878683,0.387042829,0.025,0.465091153
41,0.540178571,0.321428571,0.383376609,0.025,0.464741641,22.67571783,13.19045457,16.25213259,1.05,19.53347889,0.539898044,0.314058442,0.386955538,0.025,0.465082831
42,0.540116279,0.321511628,0.3837632,0.025,0.464522514,23.21583411,13.5119662,16.63589579,1.075,19.99800141,0.539903119,0.314231772,0.386881297,0.025,0.4650698
43,0.541761364,0.321306818,0.384822667,0.025,0.464603482,23.75759547,13.83327301,17.02071845,1.1,20.46260489,0.539945352,0.314392568,0.38683451,0.025,0.465059202
44,0.541111111,0.321388889,0.384604385,0.025,0.464869976,24.29870658,14.1546619,17.40532284,1.125,20.92747487,0.539971257,0.314548042,0.386784952,0.025,0.465054997
45,0.54076087,0.320652174,0.383036899,0.025,0.465171138,24.83946745,14.47531408,17.78835974,1.15,21.392646,0.539988423,0.314680741,0.386703473,0.025,0.465057522
46,0.53962766,0.322606383,0.383505545,0.025,0.465187868,25.37909511,14.79792046,18.17186528,1.175,21.85783387,0.539980747,0.314849371,0.386635432,0.025,0.465060295
47,0.53984375,0.320833333,0.3826361,0.025,0.465691489,25.91893886,15.11875379,18.55450138,1.2,22.32352536,0.539977893,0.314974037,0.386552112,0.025,0.465073445
48,0.539285714,0.320408163,0.381802141,0.025,0.466131133,26.45822458,15.43916196,18.93630352,1.225,22.78965649,0.539963767,0.315084938,0.386455174,0.025,0.46509503
49,0.53925,0.32175,0.383280023,0.025,0.46612766,26.99747458,15.76091196,19.31958355,1.25,23.25578415,0.539949492,0.315218239,0.386391671,0.025,0.465115683
50,0.539460784,0.321323529,0.382962544,0.025,0.466332916,27.53693536,16.08223548,19.70254609,1.275,23.72211707,0.539939909,0.315337951,0.386324433,0.025,0.46513955
51,0.539423077,0.321875,0.383387558,0.025,0.466612111,28.07635844,16.40411048,20.08593365,1.3,24.18872918,0.53992997,0.315463663,0.386267955,0.025,0.465167869
52,0.539386792,0.320518868,0.38393685,0.025,0.46651947,28.61574523,16.72462935,20.4698705,1.325,24.65524865,0.539919721,0.315559044,0.386223972,0.025,0.465193371
53,0.538888889,0.32037037,0.384562492,0.025,0.466627266,29.15463412,17.04499972,20.85443299,1.35,25.12187592,0.539900632,0.315648143,0.386193204,0.025,0.465219924
54,0.538636364,0.321363636,0.384014635,0.025,0.466769826,29.69327048,17.36636336,21.23844762,1.375,25.58864574,0.539877645,0.315752061,0.386153593,0.025,0.465248104
55,0.538392857,0.321205357,0.384076874,0.025,0.466679331,30.23166334,17.68756872,21.6225245,1.4,26.05532507,0.539851131,0.315849441,0.386116509,0.025,0.465273662
