,S1,S2,S3,S1 (French),S1 (Russian),S1 (Polish),S2 (French),S2 (Russian),S2 (Polish),S3 (French),S3 (Russian),S3 (Polish)
S1,1.0,0.037627205,-0.021270733,0.36289412,0.18785219,0.1881097,0.084443845,0.12054111,0.015636677,0.120146774,0.14482363,0.043446735
S2,0.037627205,1.0,0.31529784,0.10391363,-0.021541543,0.09209962,0.38504815,-0.028351191,0.2224341,0.26282197,-0.033016838,0.10245252
S3,-0.021270733,0.31529784,0.99999994,-0.1775245,-0.14985956,-0.016108446,-0.034134045,-0.106320634,0.24705213,-0.011706498,-0.15338868,-0.040094215
S1 (French),0.36289412,0.10391363,-0.1775245,1.0000001,0.23775709,0.38161862,0.4689554,0.17221512,0.06455188,0.42837855,0.21883437,0.24294448
S1 (Russian),0.18785219,-0.021541543,-0.14985956,0.23775709,1.0,0.22087729,0.082355574,0.86519355,0.063721776,0.059896372,0.92036825,0.26821703
S1 (Polish),0.1881097,0.09209962,-0.016108446,0.38161862,0.22087729,1.0,0.31529766,0.20275907,0.4554911,0.30055347,0.18467648,0.6197819
S2 (French),0.084443845,0.38504815,-0.034134045,0.4689554,0.082355574,0.31529766,0.99999976,0.10548747,0.2195272,0.72376275,0.09418111,0.33545786
S2 (Russian),0.12054111,-0.028351191,-0.106320634,0.17221512,0.86519355,0.20275907,0.10548747,1.0000001,0.01660873,0.10127133,0.9129437,0.27448165
S2 (Polish),0.015636677,0.2224341,0.24705213,0.06455188,0.063721776,0.4554911,0.2195272,0.01660873,0.99999994,0.22225356,0.034439813,0.6213374
S3 (French),0.120146774,0.26282197,-0.011706498,0.42837855,0.059896372,0.30055347,0.72376275,0.10127133,0.22225356,1.0000002,0.07506717,0.43026465
S3 (Russian),0.14482363,-0.033016838,-0.15338868,0.21883437,0.92036825,0.18467648,0.09418111,0.9129437,0.034439813,0.07506717,1.0,0.2802611
S3 (Polish),0.043446735,0.10245252,-0.040094215,0.24294448,0.26821703,0.6197819,0.33545786,0.27448165,0.6213374,0.43026465,0.2802611,0.9999999
