n,H2X_robustness_score,SHAP_robustness_score,LEMNA_robustness_score,I-MAD_Robustness score
10,0.2,0.200005401,0.090448566,0.2
20,0.106212242,0.100010874,0.079842719,0.106074487
30,0.072580153,0.066720938,0.093168133,0.073154621
40,0.055826146,0.050227049,0.053785421,0.063962074
50,0.045628858,0.04151065,0.023814927,0.049807014
60,0.038441802,0.035200211,0.011826112,0.046620736
70,0.033646819,0.039291422,0.010362689,0.044485428
80,0.030291915,0.03486665,0.013904865,0.039915231
90,0.028074612,0.03231212,0.010434291,0.036688231
100,0.025719871,0.031294583,0.009644845,0.034202565
110,0.024171221,0.028876753,0.007370128,0.031117197
120,0.022128849,0.026946248,0.005285878,0.028196502
130,0.021245246,0.025301211,0.008675682,0.02570258
140,0.020878787,0.024392532,0.007864352,0.024520669
150,0.020102783,0.023123134,0.006851205,0.022597429
160,0.018643328,0.022341995,0.007307531,0.021393825
170,0.017863908,0.021905117,0.008305172,0.020364196
180,0.017403236,0.021833976,0.008617142,0.020509064
190,0.016457041,0.02116499,0.007775584,0.021879238
200,0.016214676,0.019780928,0.00924595,0.021351925
210,0.015686951,0.019286201,0.008089337,0.021658601
220,0.015569487,0.019247902,0.009267459,0.021582652
230,0.01522982,0.018692639,0.009197666,0.021520533
240,0.01537401,0.018385266,0.007762102,0.020550622
250,0.015153588,0.017958651,0.006627916,0.020082558
260,0.014771426,0.017389972,0.006309755,0.020052249
270,0.014797466,0.017001754,0.005701174,0.019524538
280,0.0147784,0.0168962,0.004783242,0.019055429
290,0.014645371,0.016711021,0.004738942,0.018234052
300,0.01428827,0.016472602,0.005336955,0.017874676
310,0.014127032,0.016019255,0.006040114,0.017480955
320,0.014149504,0.016140105,0.006387977,0.017231934
330,0.013977858,0.016041482,0.005726701,0.017442353
340,0.013412922,0.015690577,0.005460683,0.016834916
350,0.013213652,0.015753856,0.005892451,0.016325206
360,0.012934329,0.015992329,0.006106371,0.016451593
370,0.012815912,0.015669427,0.005558219,0.016587315
380,0.012778456,0.015773375,0.005179357,0.016379865
390,0.012674903,0.015723575,0.005216146,0.016092001
400,0.012719455,0.015720187,0.004456296,0.015509577
410,0.012623291,0.015523501,0.004370185,0.015432363
420,0.012548415,0.015648666,0.004415783,0.015618977
430,0.012279154,0.015631391,0.004336986,0.016401212
440,0.012033,0.015372556,0.004358479,0.016133113
450,0.01187399,0.015450211,0.004403535,0.016053279
460,0.011899112,0.015603046,0.004226752,0.016020664
470,0.011846124,0.015363918,0.003992748,0.01557139
480,0.011759946,0.015291231,0.003947968,0.01562421
490,0.012008072,0.014952716,0.003775014,0.015561375
500,0.012172236,0.014996985,0.003886355,0.015554859
510,0.012313841,0.014724978,0.003764583,0.015492149
520,0.012226091,0.014877115,0.003903439,0.01510764
530,0.01215443,0.014839091,0.003973419,0.015076794
540,0.012128262,0.014502194,0.00417994,0.015133142
550,0.011900595,0.014766823,0.00391406,0.014703778
560,0.011719269,0.015536752,0.003479105,0.014944379
570,0.011622933,0.015491231,0.003775311,0.015142705
580,0.011465545,0.015472443,0.003522937,0.015062142
590,0.011379044,0.015629967,0.003707425,0.014975183
600,0.011417377,0.015334172,0.00370651,0.015261919
610,0.011417377,0.015334172,0.00370651,0.014952821
620,0.011417377,0.015334172,0.00370651,0.014786606
630,0.011417377,0.015334172,0.00370651,0.014720455
640,0.011417377,0.015334172,0.00370651,0.014891365
650,0.011417377,0.015334172,0.00370651,0.015181658
660,0.011417377,0.015334172,0.00370651,0.015287518
670,0.011417377,0.015334172,0.00370651,0.015238178
680,0.011417377,0.015334172,0.00370651,0.015591892
690,0.011417377,0.015334172,0.00370651,0.015306612
700,0.011417377,0.015334172,0.00370651,0.015211585
710,0.011417377,0.015334172,0.00370651,0.015107849
720,0.011417377,0.015334172,0.00370651,0.015263241
730,0.011417377,0.015334172,0.00370651,0.015011889
740,0.011417377,0.015334172,0.00370651,0.015344813
750,0.011417377,0.015334172,0.00370651,0.015284668
760,0.011417377,0.015334172,0.00370651,0.015384692
770,0.011417377,0.015334172,0.00370651,0.015466764
780,0.011417377,0.015334172,0.00370651,0.015261951
790,0.011417377,0.015334172,0.00370651,0.015203448
800,0.011417377,0.015334172,0.00370651,0.014983049
810,0.011417377,0.015334172,0.00370651,0.015071522
820,0.011417377,0.015334172,0.00370651,0.015147771
830,0.011417377,0.015334172,0.00370651,0.015123835
840,0.011417377,0.015334172,0.00370651,0.015123835
850,0.011417377,0.015334172,0.00370651,0.015123835
860,0.011417377,0.015334172,0.00370651,0.015123835
870,0.011417377,0.015334172,0.00370651,0.015123835
880,0.011417377,0.015334172,0.00370651,0.015123835
890,0.011417377,0.015334172,0.00370651,0.015123835
900,0.011417377,0.015334172,0.00370651,0.015123835
910,0.011417377,0.015334172,0.00370651,0.015123835
920,0.011417377,0.015334172,0.00370651,0.015123835
930,0.011417377,0.015334172,0.00370651,0.015123835
940,0.011417377,0.015334172,0.00370651,0.015123835
950,0.011417377,0.015334172,0.00370651,0.015123835
960,0.011417377,0.015334172,0.00370651,0.015123835
970,0.011417377,0.015334172,0.00370651,0.015123835
980,0.011417377,0.015334172,0.00370651,0.015123835
990,0.011417377,0.015334172,0.00370651,0.015123835
1000,0.011417377,0.015334172,0.00370651,0.015123835
