n,H2X_robustness_score,SHAP_robustness_score,LEMNA_robustness_score,Robustness score
10,0.8,0.799994599,0.909551434,0.8
20,0.893787758,0.899989126,0.920157281,0.893925513
30,0.927419847,0.933279062,0.906831867,0.926845379
40,0.944173854,0.949772951,0.946214579,0.936037926
50,0.954371142,0.95848935,0.976185073,0.950192986
60,0.961558198,0.964799789,0.988173888,0.953379264
70,0.966353181,0.960708578,0.989637311,0.955514572
80,0.969708085,0.96513335,0.986095135,0.960084769
90,0.971925388,0.96768788,0.989565709,0.963311769
100,0.974280129,0.968705417,0.990355155,0.965797435
110,0.975828779,0.971123247,0.992629872,0.968882803
120,0.977871151,0.973053752,0.994714122,0.971803498
130,0.978754754,0.974698789,0.991324318,0.97429742
140,0.979121213,0.975607468,0.992135648,0.975479331
150,0.979897217,0.976876866,0.993148795,0.977402571
160,0.981356672,0.977658005,0.992692469,0.978606175
170,0.982136092,0.978094883,0.991694828,0.979635804
180,0.982596764,0.978166024,0.991382858,0.979490936
190,0.983542959,0.97883501,0.992224416,0.978120762
200,0.983785324,0.980219072,0.99075405,0.978648075
210,0.984313049,0.980713799,0.991910663,0.978341399
220,0.984430513,0.980752098,0.990732541,0.978417348
230,0.98477018,0.981307361,0.990802334,0.978479467
240,0.98462599,0.981614734,0.992237898,0.979449378
250,0.984846412,0.982041349,0.993372084,0.979917442
260,0.985228574,0.982610028,0.993690245,0.979947751
270,0.985202534,0.982998246,0.994298826,0.980475462
280,0.9852216,0.9831038,0.995216758,0.980944571
290,0.985354629,0.983288979,0.995261058,0.981765948
300,0.98571173,0.983527398,0.994663045,0.982125324
310,0.985872968,0.983980745,0.993959886,0.982519045
320,0.985850496,0.983859895,0.993612023,0.982768066
330,0.986022142,0.983958518,0.994273299,0.982557647
340,0.986587078,0.984309423,0.994539317,0.983165084
350,0.986786348,0.984246144,0.994107549,0.983674794
360,0.987065671,0.984007671,0.993893629,0.983548407
370,0.987184088,0.984330573,0.994441781,0.983412685
380,0.987221544,0.984226625,0.994820643,0.983620135
390,0.987325097,0.984276425,0.994783854,0.983907999
400,0.987280545,0.984279813,0.995543704,0.984490423
410,0.987376709,0.984476499,0.995629815,0.984567637
420,0.987451585,0.984351334,0.995584217,0.984381023
430,0.987720846,0.984368609,0.995663014,0.983598788
440,0.987967,0.984627444,0.995641521,0.983866887
450,0.98812601,0.984549789,0.995596465,0.983946721
460,0.988100888,0.984396954,0.995773248,0.983979336
470,0.988153876,0.984636082,0.996007252,0.98442861
480,0.988240054,0.984708769,0.996052032,0.98437579
490,0.987991928,0.985047284,0.996224986,0.984438625
500,0.987827764,0.985003015,0.996113645,0.984445141
510,0.987686159,0.985275022,0.996235417,0.984507851
520,0.987773909,0.985122885,0.996096561,0.98489236
530,0.98784557,0.985160909,0.996026581,0.984923206
540,0.987871738,0.985497806,0.99582006,0.984866858
550,0.988099405,0.985233177,0.99608594,0.985296222
560,0.988280731,0.984463248,0.996520895,0.985055621
570,0.988377067,0.984508769,0.996224689,0.984857295
580,0.988534455,0.984527557,0.996477063,0.984937858
590,0.988620956,0.984370033,0.996292575,0.985024817
600,0.988582623,0.984665828,0.99629349,0.984738081
610,0.988582623,0.984665828,0.99629349,0.985047179
620,0.988582623,0.984665828,0.99629349,0.985213394
630,0.988582623,0.984665828,0.99629349,0.985279545
640,0.988582623,0.984665828,0.99629349,0.985108635
650,0.988582623,0.984665828,0.99629349,0.984818342
660,0.988582623,0.984665828,0.99629349,0.984712482
670,0.988582623,0.984665828,0.99629349,0.984761822
680,0.988582623,0.984665828,0.99629349,0.984408108
690,0.988582623,0.984665828,0.99629349,0.984693388
700,0.988582623,0.984665828,0.99629349,0.984788415
710,0.988582623,0.984665828,0.99629349,0.984892151
720,0.988582623,0.984665828,0.99629349,0.984736759
730,0.988582623,0.984665828,0.99629349,0.984988111
740,0.988582623,0.984665828,0.99629349,0.984655187
750,0.988582623,0.984665828,0.99629349,0.984715332
760,0.988582623,0.984665828,0.99629349,0.984615308
770,0.988582623,0.984665828,0.99629349,0.984533236
780,0.988582623,0.984665828,0.99629349,0.984738049
790,0.988582623,0.984665828,0.99629349,0.984796552
800,0.988582623,0.984665828,0.99629349,0.985016951
810,0.988582623,0.984665828,0.99629349,0.984928478
820,0.988582623,0.984665828,0.99629349,0.984852229
830,0.988582623,0.984665828,0.99629349,0.984876165
840,0.988582623,0.984665828,0.99629349,0.984876165
850,0.988582623,0.984665828,0.99629349,0.984876165
860,0.988582623,0.984665828,0.99629349,0.984876165
870,0.988582623,0.984665828,0.99629349,0.984876165
880,0.988582623,0.984665828,0.99629349,0.984876165
890,0.988582623,0.984665828,0.99629349,0.984876165
900,0.988582623,0.984665828,0.99629349,0.984876165
910,0.988582623,0.984665828,0.99629349,0.984876165
920,0.988582623,0.984665828,0.99629349,0.984876165
930,0.988582623,0.984665828,0.99629349,0.984876165
940,0.988582623,0.984665828,0.99629349,0.984876165
950,0.988582623,0.984665828,0.99629349,0.984876165
960,0.988582623,0.984665828,0.99629349,0.984876165
970,0.988582623,0.984665828,0.99629349,0.984876165
980,0.988582623,0.984665828,0.99629349,0.984876165
990,0.988582623,0.984665828,0.99629349,0.984876165
1000,0.988582623,0.984665828,0.99629349,0.984876165
