Key,Value
0,0
1,0.35625
2,0.4375
3,0.4625
4,0.4925
5,0.520833333
6,0.535714286
7,0.5453125
8,0.544444444
9,0.5525
10,0.55
11,0.559375
12,0.555769231
13,0.560714286
14,0.568333333
15,0.57109375
16,0.575
17,0.575694444
18,0.573026316
19,0.575625
20,0.57797619
21,0.578409091
22,0.578804348
23,0.577604167
24,0.5815
25,0.585096154
26,0.585185185
27,0.587053571
28,0.588362069
29,0.59125
30,0.591532258
31,0.593359375
32,0.595075758
33,0.596323529
34,0.595
35,0.594791667
36,0.596959459
37,0.595723684
38,0.599038462
39,0.60125
40,0.600304878
41,0.597916667
42,0.595639535
43,0.596306818
44,0.595
45,0.596195652
46,0.595212766
47,0.595052083
48,0.596428571
49,0.5965
