feature_name,data_type,encoding_method,group,description
f_Machine_0,Integer (encoded categorical),Label encoding,PE/COFF Header,Machine architecture identifier from the PE header.
f_SizeOfOptionalHeader_0,Integer,Direct numeric,PE/COFF Header,Size of the PE optional header.
f_Characteristics_0,Integer bitmask,Direct numeric,PE/COFF Header,COFF characteristics bitmask describing executable properties.
f_MajorLinkerVersion_0,Integer,Direct numeric,Optional Header,Major linker version used to build the executable.
f_MinorLinkerVersion_0,Integer,Direct numeric,Optional Header,Minor linker version used to build the executable.
f_SizeOfCode_0,Integer,Direct numeric,Optional Header,Total size of code sections.
f_SizeOfInitializedData_0,Integer,Direct numeric,Optional Header,Total size of initialized data sections.
f_SizeOfUninitializedData_0,Integer,Direct numeric,Optional Header,Total size of uninitialized data sections.
f_AddressOfEntryPoint_0,Integer / RVA,Direct numeric,Optional Header,Relative virtual address of the executable entry point.
f_BaseOfCode_0,Integer / RVA,Direct numeric,Optional Header,Relative virtual address of the beginning of the code section.
f_BaseOfData_0,Integer / RVA,Direct numeric,Optional Header,Relative virtual address of the beginning of the data section.
f_ImageBase_0,Integer / address,Direct numeric,Optional Header,Preferred virtual address at which the executable image is loaded.
f_SectionAlignment_0,Integer,Direct numeric,Optional Header,Alignment of sections when loaded into memory.
f_FileAlignment_0,Integer,Direct numeric,Optional Header,Alignment of PE sections in the file.
f_MajorOperatingSystemVersion_0,Integer,Direct numeric,Optional Header,Major required operating-system version.
f_MinorOperatingSystemVersion_0,Integer,Direct numeric,Optional Header,Minor required operating-system version.
f_MajorImageVersion_0,Integer,Direct numeric,Optional Header,Major image version.
f_MinorImageVersion_0,Integer,Direct numeric,Optional Header,Minor image version.
f_MajorSubsystemVersion_0,Integer,Direct numeric,Optional Header,Major version of the required subsystem.
f_MinorSubsystemVersion_0,Integer,Direct numeric,Optional Header,Minor version of the required subsystem.
f_SizeOfImage_0,Integer,Direct numeric,Optional Header,Total size of the loaded PE image in memory.
f_SizeOfHeaders_0,Integer,Direct numeric,Optional Header,Combined size of PE headers.
f_CheckSum_0,Integer,Direct numeric,Optional Header,PE checksum value.
f_Subsystem_0,Integer (encoded categorical),Label encoding,Optional Header,Identifier of the Windows subsystem required by the executable.
f_DllCharacteristics_0,Integer bitmask,Direct numeric,Optional Header,DLL/security and loading characteristics bitmask.
f_SizeOfStackReserve_0,Integer,Direct numeric,Memory Configuration,Amount of virtual memory reserved for the stack.
f_SizeOfStackCommit_0,Integer,Direct numeric,Memory Configuration,Amount of initially committed stack memory.
f_SizeOfHeapReserve_0,Integer,Direct numeric,Memory Configuration,Amount of virtual memory reserved for the heap.
f_SizeOfHeapCommit_0,Integer,Direct numeric,Memory Configuration,Amount of initially committed heap memory.
f_LoaderFlags_0,Integer / bitmask,Direct numeric,Optional Header,Reserved loader-related flags.
f_NumberOfRvaAndSizes_0,Integer,Direct numeric,Optional Header,Number of data-directory entries in the PE optional header.
f_SectionsNb_0,Integer,Direct numeric,Section Statistics,Number of PE sections.
f_SectionsMeanEntropy_0,Float,Direct numeric,Section Statistics,Mean entropy across PE sections.
f_SectionsMinEntropy_0,Float,Direct numeric,Section Statistics,Minimum entropy among PE sections.
f_SectionsMaxEntropy_0,Float,Direct numeric,Section Statistics,Maximum entropy among PE sections.
f_SectionsMeanRawsize_0,Float / integer,Direct numeric,Section Statistics,Mean raw size of PE sections on disk.
f_SectionsMinRawsize_0,Integer,Direct numeric,Section Statistics,Minimum raw section size.
f_SectionsMaxRawsize_0,Integer,Direct numeric,Section Statistics,Maximum raw section size.
f_SectionsMeanVirtualsize_0,Float / integer,Direct numeric,Section Statistics,Mean virtual size of PE sections when loaded.
f_SectionsMinVirtualsize_0,Integer,Direct numeric,Section Statistics,Minimum virtual section size.
f_SectionMaxVirtualsize_0,Integer,Direct numeric,Section Statistics,Maximum virtual section size.
f_ImportsNbDLL_0,Integer,Direct numeric,Import Statistics,Number of imported DLLs.
f_ImportsNb_0,Integer,Direct numeric,Import Statistics,Total number of imported functions/APIs.
f_ImportsNbOrdinal_0,Integer,Direct numeric,Import Statistics,Number of functions imported by ordinal.
f_ExportNb_0,Integer,Direct numeric,Export Statistics,Number of exported functions.
f_ResourcesNb_0,Integer,Direct numeric,Resource Statistics,Number of resources embedded in the PE file.
f_ResourcesMeanEntropy_0,Float,Direct numeric,Resource Statistics,Mean entropy of embedded resources.
f_ResourcesMinEntropy_0,Float,Direct numeric,Resource Statistics,Minimum resource entropy.
f_ResourcesMaxEntropy_0,Float,Direct numeric,Resource Statistics,Maximum resource entropy.
f_ResourcesMeanSize_0,Float / integer,Direct numeric,Resource Statistics,Mean size of embedded resources.
f_ResourcesMinSize_0,Integer,Direct numeric,Resource Statistics,Minimum resource size.
f_ResourcesMaxSize_0,Integer,Direct numeric,Resource Statistics,Maximum resource size.
f_LoadConfigurationSize_0,Integer,Direct numeric,PE Metadata,Size of the PE load-configuration structure.
f_VersionInformationSize_0,Integer,Direct numeric,PE Metadata,Size/amount of executable version information.
f_garbage_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_garbage_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,"Embedding component derived from gibberish, meaningless, or potentially obfuscated strings."
f_fileName_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_fileName_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from file-name-related strings extracted from the executable.
f_URLs_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_URLs_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from URLs extracted using pattern matching/regular expressions.
f_DIRs_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_DIRs_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),File-system Indicators,Embedding component derived from directory and file-system path strings.
f_emails_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_emails_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from valid-looking email addresses.
f_inValEmails_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
